Country,Year,House Price Index,Rent Index,Affordability Ratio,Mortgage Rate (%),Inflation Rate (%),GDP Growth (%),Population Growth (%),Urbanization Rate (%),Construction Index
Australia,2024,139.56387406078443,83.01033319851109,6.706568227325417,3.2443413327149764,6.541939437610868,4.644955262301833,2.377594187332794,63.728916704566345,128.46939801629154
UAE,2022,175.53346865039282,105.08323703787066,5.838662061732115,4.940673530432711,3.3444203063600475,0.0373649763684094,1.9430505279907293,61.15279046886975,142.14095937083388
Germany,2023,97.32018699100152,80.36961544665812,6.586542609576361,4.579250490261082,4.628108730639685,-1.637567921823644,0.3111441511926491,78.7757974714271,110.25090068640702
UK,2019,112.53996981592678,102.25439835826168,8.846696091424931,5.74611705247089,4.774483799952232,2.546468826683773,-0.6721383126016763,71.03147409178301,91.21618941453804
South Korea,2017,157.95844735667532,74.50876814167111,3.5205840890705677,6.345513150704057,6.244608252262268,5.422018265561704,2.482177379262524,65.21685747658462,101.6993615122127
UAE,2020,160.15371118829896,117.17036510247232,7.390686395337262,2.0486809933875176,4.061736678329004,1.635018676479687,1.955249789588656,62.942477423527336,109.05929096174224
UK,2024,179.00538501042632,59.80588106655668,7.664966871273631,5.886865359639777,5.314996015402329,3.576125927962144,1.4586942939548826,70.78473453659265,93.48734754115948
Canada,2024,81.65878289278561,85.84651408094967,5.038461976781441,4.725863952047249,1.6333817885324444,3.527501904819728,0.3535737120518809,88.10189966210203,81.00167553167947
South Africa,2018,115.06269312091808,52.32421761539566,3.7072064743951865,3.48461638100798,1.3626524012798922,2.540326786092465,1.41312739198043,84.0176009732725,86.0120195395848
India,2021,159.72953657795534,60.49421991441417,5.063262557093774,5.111262841965331,5.180237487549483,3.1291810630823784,1.42881955563485,76.28173330042789,90.1439247125562
Brazil,2019,166.20426509893133,109.11845789745492,5.871904259189301,5.644577370753387,0.740549625650702,2.7701590278564243,-0.1949690694930392,63.61700657331836,76.15625613033673
Sweden,2018,121.10284698067048,108.79029120067042,11.1002081105821,3.2671068965135905,2.0396586333341333,4.244204121950895,-0.0381788755815236,84.67842955541035,103.89906029190102
USA,2020,146.2522284353982,71.81977532625876,7.680612190600297,4.233551396716399,1.7015539609159258,5.7566770221164685,1.712964881763901,88.18496824692568,141.5861880342119
South Korea,2021,148.32587636595957,55.32916016432101,10.66086222643892,3.975732635069872,3.623812752623212,2.739262277276141,1.886383380738022,70.43427623706579,124.24129220472508
Brazil,2022,159.87832357736653,119.85538773733364,6.156406339065391,5.335941444655635,3.112550938460074,1.8390049624312708,1.1962691212642955,86.21031342559016,148.72667753594362
Australia,2018,116.30822963986353,95.2142068932121,8.137004742020206,3.2804836294892312,6.912349117154368,2.846198554855097,-0.1697062289240193,63.05347417861211,82.22873113474657
South Africa,2015,106.89934044350976,105.82913704460316,5.793257630312164,3.776100745409006,0.5755335094026541,-1.420424897643529,0.3737274474233969,74.3981650415137,118.0016438495443
China,2023,81.97105377543642,57.28760073892017,10.199244768358705,2.392723310271668,4.742849701037185,-0.0945377516261878,-0.6519551253422919,67.29516572998362,127.78135454845273
Sweden,2017,84.34125328548191,94.32059629158157,11.562630079859913,4.508059100731656,5.824727586274136,5.073651706787262,-0.2017207981787363,66.3613451972468,118.87847910807936
China,2021,120.0763060875326,89.17482319157526,4.397162213376412,2.409640652476356,6.101606536587863,5.568923697069062,0.3065826069791353,68.12234019430662,121.51996345912126
Netherlands,2024,173.44360268055144,74.61358810677442,3.912787456042949,3.929358795931628,2.1690476901833016,0.2789832156953826,0.0755148772420031,84.0907769349799,113.13290213402036
China,2022,120.87341710980964,51.77704489622414,4.405373376295714,5.079861144236988,4.783005622415984,-1.783232059972132,-0.2230974332346769,66.93224389764214,123.75141948789827
Germany,2016,159.5792669436101,112.30037392722964,6.041956411663822,3.37791476319972,1.1108826089656485,2.626241127969392,-0.8742020417114027,73.96794054397381,113.41157077660613
Canada,2017,102.87981654916224,55.38859368801551,5.607763076223913,2.306106436270022,6.543034740226725,4.464963036515336,1.216913147786482,86.14381770563153,134.29376615192916
Germany,2020,149.5974206093698,78.62670610899889,4.559648880637612,2.2821852133554303,2.12657883806987,2.393813317648964,1.5010857294502182,79.80592130153194,92.39471175567544
Brazil,2024,103.360775104991,52.946523274545335,3.1608654126007245,6.438611948680157,3.2805253692831053,1.0746131772774534,1.3787654894257444,66.54761663595193,145.99689471601803
France,2017,161.44684825889357,69.729834234138,4.063483448594907,4.983685826820754,4.588128504069246,5.019776108216424,1.5727486533136004,84.10442791154546,92.56276580570452
Switzerland,2024,123.2497878330132,71.82712931596816,7.555276765562197,3.697558443164551,1.1868204477013355,3.12661051752165,-0.2438663612164013,78.58763864693489,122.01608739185228
